column1,column2,correlation
product_name,eval_set,0.707626
product_name,order_number,0.650663
product_name,order_dow,0.690322
product_name,order_hour_of_day,0.688191
product_name,days_since_prior_order,0.692356
product_name,add_to_cart_order,0.687499
product_name,reordered,0.724052
product_name,aisle,1
product_name,department,1
eval_set,order_number,0.0424769
eval_set,order_dow,0.00438246
eval_set,order_hour_of_day,0.00751814
eval_set,days_since_prior_order,0.0261233
eval_set,add_to_cart_order,0.013282
eval_set,reordered,0.0005998
eval_set,aisle,0.0543739
eval_set,department,0.00835324
order_number,order_dow,0.0489724
order_number,order_hour_of_day,0.0376839
order_number,days_since_prior_order,0.071434
order_number,add_to_cart_order,0.0381201
order_number,reordered,0.222006
order_number,aisle,0.0625433
order_number,department,0.0574548
order_dow,order_hour_of_day,0.0111005
order_dow,days_since_prior_order,0.0233756
order_dow,add_to_cart_order,0.0175573
order_dow,reordered,0.00238025
order_dow,aisle,0.0610195
order_dow,department,0.0103409
order_hour_of_day,days_since_prior_order,0.0150203
order_hour_of_day,add_to_cart_order,0.0199777
order_hour_of_day,reordered,0.012597
order_hour_of_day,aisle,0.0680564
order_hour_of_day,department,0.00943303
days_since_prior_order,add_to_cart_order,0.0246119
days_since_prior_order,reordered,0.133099
days_since_prior_order,aisle,0.0619815
days_since_prior_order,department,0.0177335
add_to_cart_order,reordered,0.0459847
add_to_cart_order,aisle,0.0580866
add_to_cart_order,department,0.0210797
reordered,aisle,0.105832
reordered,department,0.0445327
aisle,department,1
