column1,column2,correlation
product_name,eval_set,0.403582
product_name,order_number,0.354454
product_name,order_dow,0.389057
product_name,order_hour_of_day,0.382102
product_name,days_since_prior_order,0.386261
product_name,add_to_cart_order,0.446915
product_name,reordered,0.448105
product_name,aisle,0.998776
product_name,department,0.995744
eval_set,order_number,0.0202907
eval_set,order_dow,0.00111713
eval_set,order_hour_of_day,0.00228831
eval_set,days_since_prior_order,0.0334302
eval_set,add_to_cart_order,0.00771411
eval_set,reordered,9.01322e-05
eval_set,aisle,0.00914415
eval_set,department,0.00164787
order_number,order_dow,0.00699333
order_number,order_hour_of_day,0.00662335
order_number,days_since_prior_order,0.0432253
order_number,add_to_cart_order,0.00656188
order_number,reordered,0.190125
order_number,aisle,0.00766946
order_number,department,0.00551716
order_dow,order_hour_of_day,0.00197395
order_dow,days_since_prior_order,0.00810412
order_dow,add_to_cart_order,0.00448565
order_dow,reordered,0.000476786
order_dow,aisle,0.00958701
order_dow,department,0.00216006
order_hour_of_day,days_since_prior_order,0.00253056
order_hour_of_day,add_to_cart_order,0.00377101
order_hour_of_day,reordered,0.00207142
order_hour_of_day,aisle,0.00797617
order_hour_of_day,department,0.00144433
days_since_prior_order,add_to_cart_order,0.00480293
days_since_prior_order,reordered,0.114183
days_since_prior_order,aisle,0.00858594
days_since_prior_order,department,0.00209686
add_to_cart_order,reordered,0.0249317
add_to_cart_order,aisle,0.0110454
add_to_cart_order,department,0.00538753
reordered,aisle,0.0627168
reordered,department,0.04104
aisle,department,1
