column1,column2,correlation
product_name,eval_set,0.805393
product_name,order_number,0.747214
product_name,order_dow,0.791539
product_name,order_hour_of_day,0.754291
product_name,days_since_prior_order,0.772306
product_name,add_to_cart_order,0.82532
product_name,reordered,0.826451
product_name,aisle,1
product_name,department,1
eval_set,order_number,0.0755442
eval_set,order_dow,0.00567203
eval_set,order_hour_of_day,0.0285375
eval_set,days_since_prior_order,0.0565691
eval_set,add_to_cart_order,0.0481153
eval_set,reordered,0.00038108
eval_set,aisle,0.155307
eval_set,department,0.0191312
order_number,order_dow,0.0830077
order_number,order_hour_of_day,0.0819156
order_number,days_since_prior_order,0.109661
order_number,add_to_cart_order,0.0785933
order_number,reordered,0.270522
order_number,aisle,0.0936421
order_number,department,0.0794687
order_dow,order_hour_of_day,0.0211399
order_dow,days_since_prior_order,0.0353675
order_dow,add_to_cart_order,0.036958
order_dow,reordered,0.00616434
order_dow,aisle,0.103612
order_dow,department,0.0189373
order_hour_of_day,days_since_prior_order,0.0345912
order_hour_of_day,add_to_cart_order,0.0372452
order_hour_of_day,reordered,0.0270709
order_hour_of_day,aisle,0.103355
order_hour_of_day,department,0.0258488
days_since_prior_order,add_to_cart_order,0.037895
days_since_prior_order,reordered,0.161039
days_since_prior_order,aisle,0.09591
days_since_prior_order,department,0.0319753
add_to_cart_order,reordered,0.0656206
add_to_cart_order,aisle,0.103158
add_to_cart_order,department,0.0423995
reordered,aisle,0.138376
reordered,department,0.0373072
aisle,department,1
