column1,column2,correlation
product_name,eval_set,0.522571
product_name,order_number,0.465175
product_name,order_dow,0.484534
product_name,order_hour_of_day,0.495038
product_name,days_since_prior_order,0.491493
product_name,add_to_cart_order,0.582613
product_name,reordered,0.546116
product_name,aisle,0.998242
product_name,department,0.994424
eval_set,order_number,0.0239479
eval_set,order_dow,0.00181956
eval_set,order_hour_of_day,0.00221802
eval_set,days_since_prior_order,0.0307562
eval_set,add_to_cart_order,0.00366769
eval_set,reordered,0.000133684
eval_set,aisle,0.0150136
eval_set,department,0.00292087
order_number,order_dow,0.0124803
order_number,order_hour_of_day,0.0114609
order_number,days_since_prior_order,0.0486946
order_number,add_to_cart_order,0.0150294
order_number,reordered,0.194264
order_number,aisle,0.0160114
order_number,department,0.0117117
order_dow,order_hour_of_day,0.00328876
order_dow,days_since_prior_order,0.00992948
order_dow,add_to_cart_order,0.00658463
order_dow,reordered,0.000828746
order_dow,aisle,0.0186962
order_dow,department,0.00326965
order_hour_of_day,days_since_prior_order,0.00426746
order_hour_of_day,add_to_cart_order,0.00698782
order_hour_of_day,reordered,0.00663561
order_hour_of_day,aisle,0.0151396
order_hour_of_day,department,0.00319926
days_since_prior_order,add_to_cart_order,0.00695806
days_since_prior_order,reordered,0.114753
days_since_prior_order,aisle,0.0170196
days_since_prior_order,department,0.00411858
add_to_cart_order,reordered,0.0236532
add_to_cart_order,aisle,0.0200398
add_to_cart_order,department,0.00864668
reordered,aisle,0.0722712
reordered,department,0.0417937
aisle,department,1
