column1,column2,correlation
0,1,0.0202474
0,3,0.0239349
0,4,0.0239349
0,5,0.0906489
0,6,0.0156796
0,7,0.0870731
0,8,0.00502872
0,9,0.0207603
0,10,0.0194581
0,11,0.0101537
0,12,0.0114949
0,13,0.00476054
0,14,0.109415
1,3,0.0101013
1,4,0.0101013
1,5,0.00772467
1,6,0.160821
1,7,0.00942842
1,8,0.00366413
1,9,0.0237134
1,10,0.00997228
1,11,0.0059531
1,12,0.0213007
1,13,0.00336573
1,14,0.0336717
3,4,1
3,5,0.00851741
3,6,0.0351456
3,7,0.0148401
3,8,0.00660285
3,9,0.00969977
3,10,0.0141475
3,11,0.00614207
3,12,0.0115165
3,13,0.0201194
3,14,0.13303
4,5,0.00851741
4,6,0.0351456
4,7,0.0148401
4,8,0.00660285
4,9,0.00969977
4,10,0.0141475
4,11,0.00614207
4,12,0.0115165
4,13,0.0201194
4,14,0.13303
5,6,0.0178374
5,7,0.239918
5,8,0.00654837
5,9,0.207721
5,10,0.0295803
5,11,0.0190979
5,12,0.022194
5,13,0.00600492
5,14,0.198303
6,7,0.031728
6,8,0.00710476
6,9,0.18117
6,10,0.00910797
6,11,0.00601154
6,12,0.022956
6,13,0.00620246
6,14,0.132508
7,8,0.00880242
7,9,0.422392
7,10,0.0287082
7,11,0.0169858
7,12,0.0349235
7,13,0.0100423
7,14,0.202935
8,9,0.0134506
8,10,0.00601308
8,11,0.00417559
8,12,0.00939448
8,13,0.172891
8,14,0.0106703
9,10,0.0213338
9,11,0.0138103
9,12,0.0789064
9,13,0.00619615
9,14,0.0455574
10,11,5.44555e-05
10,12,0.0103445
10,13,0.00641191
10,14,0.17236
11,12,0.00424447
11,13,0.0124187
11,14,0.0783481
12,13,0.00543108
12,14,0.0838501
13,14,0.0112083
