column1,column2,correlation
0,1,0.0547823
0,3,0.0537015
0,4,0.0537015
0,5,0.149358
0,6,0.0463277
0,7,0.108534
0,8,0.02471
0,9,0.0420362
0,10,0.0540083
0,11,0.0445834
0,12,0.0478075
0,13,0.0310826
0,14,0.149125
1,3,0.0191673
1,4,0.0191673
1,5,0.0106625
1,6,0.211805
1,7,0.0134223
1,8,0.00528236
1,9,0.0355598
1,10,0.0390169
1,11,0.0296658
1,12,0.049208
1,13,0.0161014
1,14,0.0262496
3,4,1
3,5,0.0194222
3,6,0.0443782
3,7,0.0250839
3,8,0.0147295
3,9,0.0108635
3,10,0.0380282
3,11,0.0168889
3,12,0.0377206
3,13,0.0502267
3,14,0.164995
4,5,0.0194222
4,6,0.0443782
4,7,0.0250839
4,8,0.0147295
4,9,0.0108635
4,10,0.0380282
4,11,0.0168889
4,12,0.0377206
4,13,0.0502267
4,14,0.164995
5,6,0.0255345
5,7,0.230982
5,8,0.00954754
5,9,0.202883
5,10,0.0369185
5,11,0.0334158
5,12,0.067534
5,13,0.0228221
5,14,0.193013
6,7,0.0397675
6,8,0.0150928
6,9,0.160439
6,10,0.0252074
6,11,0.0177192
6,12,0.05169
6,13,0.0284396
6,14,0.143853
7,8,0.00752689
7,9,0.394458
7,10,0.0453749
7,11,0.0230972
7,12,0.0656774
7,13,0.0244887
7,14,0.202176
8,9,0.00759734
8,10,0.0199488
8,11,0.0138006
8,12,0.0497615
8,13,0.178515
8,14,0.00716361
9,10,0.0461363
9,11,0.0202081
9,12,0.109586
9,13,0.0146679
9,14,0.0404451
10,11,0.000108908
10,12,0.0302717
10,13,0.0288985
10,14,0.167049
11,12,0.0212578
11,13,0.0148191
11,14,0.0729786
12,13,0.0307668
12,14,0.119969
13,14,0.0230939
