column1,column2,correlation
0,1,0.0165894
0,3,0.0207065
0,4,0.0207065
0,5,0.0866836
0,6,0.0124147
0,7,0.0867878
0,8,0.00235455
0,9,0.0183723
0,10,0.00979759
0,11,0.00596178
0,12,0.00675004
0,13,0.00169127
0,14,0.106007
1,3,0.0099968
1,4,0.0099968
1,5,0.00730414
1,6,0.16004
1,7,0.0101593
1,8,0.00339924
1,9,0.0230387
1,10,0.00652418
1,11,0.00335876
1,12,0.0184628
1,13,0.00183308
1,14,0.0329788
3,4,1
3,5,0.0082688
3,6,0.0348712
3,7,0.0150492
3,8,0.00532668
3,9,0.00869549
3,10,0.0081514
3,11,0.004158
3,12,0.00795953
3,13,0.0169684
3,14,0.13386
4,5,0.0082688
4,6,0.0348712
4,7,0.0150492
4,8,0.00532668
4,9,0.00869549
4,10,0.0081514
4,11,0.004158
4,12,0.00795953
4,13,0.0169684
4,14,0.13386
5,6,0.0173325
5,7,0.2383
5,8,0.00689053
5,9,0.211097
5,10,0.0224649
5,11,0.0129951
5,12,0.0187506
5,13,0.00436364
5,14,0.200975
6,7,0.0317728
6,8,0.00622613
6,9,0.179958
6,10,0.00576641
6,11,0.00362667
6,12,0.0192338
6,13,0.00473363
6,14,0.1225
7,8,0.00950855
7,9,0.418017
7,10,0.0279522
7,11,0.0157178
7,12,0.0317095
7,13,0.00629135
7,14,0.206558
8,9,0.0129888
8,10,0.00253775
8,11,0.00244802
8,12,0.00597873
8,13,0.161321
8,14,0.00997146
9,10,0.0184747
9,11,0.0109622
9,12,0.0766863
9,13,0.00372979
9,14,0.0460652
10,11,4.50375e-05
10,12,0.00357139
10,13,0.0023658
10,14,0.175259
11,12,0.00289081
11,13,0.00357046
11,14,0.0768915
12,13,0.00210132
12,14,0.0800719
13,14,0.00925902
