column1,column2,correlation
0,1,0.0257458
0,3,0.0292648
0,4,0.0292648
0,5,0.0921396
0,6,0.0195931
0,7,0.092229
0,8,0.00792616
0,9,0.0235745
0,10,0.029071
0,11,0.0139185
0,12,0.0166993
0,13,0.0104262
0,14,0.110964
1,3,0.0119887
1,4,0.0119887
1,5,0.00854986
1,6,0.161142
1,7,0.0120798
1,8,0.00344298
1,9,0.0213333
1,10,0.0138986
1,11,0.00864142
1,12,0.0282448
1,13,0.00621555
1,14,0.0355736
3,4,1
3,5,0.00948261
3,6,0.0386109
3,7,0.0163399
3,8,0.00573707
3,9,0.00864124
3,10,0.0240105
3,11,0.00957532
3,12,0.0161124
3,13,0.0226336
3,14,0.139884
4,5,0.00948261
4,6,0.0386109
4,7,0.0163399
4,8,0.00573707
4,9,0.00864124
4,10,0.0240105
4,11,0.00957532
4,12,0.0161124
4,13,0.0226336
4,14,0.139884
5,6,0.0177771
5,7,0.241384
5,8,0.00828041
5,9,0.198992
5,10,0.0456196
5,11,0.0180397
5,12,0.0293072
5,13,0.00952366
5,14,0.212404
6,7,0.0333034
6,8,0.00796791
6,9,0.183457
6,10,0.0139624
6,11,0.0079851
6,12,0.0259816
6,13,0.0091809
6,14,0.129357
7,8,0.0100846
7,9,0.414359
7,10,0.034111
7,11,0.0185039
7,12,0.0357439
7,13,0.00994023
7,14,0.218875
8,9,0.00948278
8,10,0.0130574
8,11,0.00459236
8,12,0.0130054
8,13,0.167937
8,14,0.0110116
9,10,0.0227394
9,11,0.0138119
9,12,0.071981
9,13,0.00714822
9,14,0.0455857
10,11,6.83444e-05
10,12,0.0212553
10,13,0.0107838
10,14,0.160437
11,12,0.00978256
11,13,0.0136969
11,14,0.0742134
12,13,0.00933751
12,14,0.0888292
13,14,0.0142124
