column1,column2,correlation
0,1,0.0664442
0,3,0.0384384
0,4,0.0384384
0,5,0.113028
0,6,0.031028
0,7,0.100994
0,8,0.0138139
0,9,0.0252865
0,10,0.0419549
0,11,0.0306059
0,12,0.0294393
0,13,0.0152287
0,14,0.119763
1,3,0.0127407
1,4,0.0127407
1,5,0.00991967
1,6,0.183011
1,7,0.0136676
1,8,0.00403697
1,9,0.0264891
1,10,0.0212111
1,11,0.0139725
1,12,0.0341376
1,13,0.00781704
1,14,0.0311383
3,4,1
3,5,0.0124425
3,6,0.0355622
3,7,0.0200883
3,8,0.0105242
3,9,0.00961388
3,10,0.0254183
3,11,0.0128443
3,12,0.0307156
3,13,0.0337314
3,14,0.127924
4,5,0.0124425
4,6,0.0355622
4,7,0.0200883
4,8,0.0105242
4,9,0.00961388
4,10,0.0254183
4,11,0.0128443
4,12,0.0307156
4,13,0.0337314
4,14,0.127924
5,6,0.0190489
5,7,0.242218
5,8,0.00993759
5,9,0.207952
5,10,0.0333364
5,11,0.0213762
5,12,0.032043
5,13,0.0129202
5,14,0.190749
6,7,0.0322858
6,8,0.00932985
6,9,0.174096
6,10,0.0205444
6,11,0.00966218
6,12,0.0369993
6,13,0.0127233
6,14,0.117647
7,8,0.010742
7,9,0.411261
7,10,0.0337976
7,11,0.0219712
7,12,0.0512361
7,13,0.0175163
7,14,0.197884
8,9,0.0139777
8,10,0.0135587
8,11,0.00593198
8,12,0.0237518
8,13,0.194454
8,14,0.00786597
9,10,0.0309215
9,11,0.016437
9,12,0.0954515
9,13,0.0133981
9,14,0.0380248
10,11,8.39008e-05
10,12,0.0182081
10,13,0.01529
10,14,0.180167
11,12,0.0197752
11,13,0.00542878
11,14,0.0707905
12,13,0.0130497
12,14,0.0899555
13,14,0.0145742
