14
0	74	AVI
1	9	AVI
2	16	AVI
3	16	AVI
4	7	AVI
5	15	AVI
6	6	AVI
7	5	AVI
8	2	AVI
9	123	AVI
10	99	AVI
11	96	AVI
12	42	AVI
13	2	AVI
91
2	3	16	0.907857	-	16	16
4	6	29	0.216274	-	7	6
6	8	12	0.215353	-	6	2
7	11	310	0.179935	-	5	96
0	7	310	0.179323	-	74	5
7	9	282	0.179192	-	5	123
1	5	85	0.159226	-	9	15
7	12	128	0.156171	-	5	42
0	6	393	0.148266	-	74	6
6	11	440	0.13139	-	6	96
6	9	278	0.125763	-	6	123
4	8	14	0.119449	-	7	2
5	8	29	0.109091	-	15	2
0	4	418	0.0982585	-	74	7
4	11	451	0.0785149	-	7	96
4	9	292	0.0762977	-	7	123
8	11	175	0.0511697	-	2	96
4	13	14	0.0471086	-	7	2
6	13	12	0.0461179	-	6	2
9	13	127	0.0381359	-	123	2
3	12	484	0.0333118	-	16	42
2	5	225	0.0320967	-	16	15
2	13	32	0.0313089	-	16	2
0	3	1007	0.0302445	-	74	16
3	5	225	0.0294971	-	16	15
3	13	32	0.0292633	-	16	2
5	13	30	0.0292343	-	15	2
2	12	484	0.0270567	-	16	42
5	6	88	0.0268455	-	15	6
0	1	496	0.0263669	-	74	9
0	13	142	0.0253655	-	74	2
1	11	502	0.025084	-	9	96
3	11	949	0.0244636	-	16	96
0	2	1007	0.022987	-	74	16
3	9	722	0.0222752	-	16	123
3	10	504	0.0217186	-	16	99
1	9	477	0.0200431	-	9	123
1	10	350	0.0196604	-	9	99
11	13	181	0.0191465	-	96	2
10	13	107	0.0183956	-	99	2
2	11	949	0.0181732	-	16	96
5	11	936	0.0176199	-	15	96
2	9	722	0.016109	-	16	123
0	5	940	0.015593	-	74	15
2	10	504	0.0154906	-	16	99
1	8	18	0.015401	-	9	2
6	10	207	0.0148272	-	6	99
4	5	98	0.0142885	-	7	15
3	6	96	0.0142152	-	16	6
0	11	3003	0.0132021	-	74	96
0	8	146	0.0122798	-	74	2
2	6	96	0.0122043	-	16	6
8	9	215	0.01184	-	2	123
4	10	212	0.0106437	-	7	99
1	6	50	0.00976472	-	9	6
1	2	119	0.00959665	-	9	16
1	3	119	0.00932242	-	9	16
5	12	481	0.00932128	-	15	42
6	7	30	0.00839626	-	6	5
5	9	829	0.00838289	-	15	123
1	13	17	0.00787951	-	9	2
7	8	10	0.00769359	-	5	2
5	10	582	0.00768973	-	15	99
8	13	4	0.00736839	-	2	2
8	10	165	0.0073245	-	2	99
3	4	104	0.00664287	-	16	7
1	4	55	0.00639321	-	9	7
4	7	33	0.00613727	-	7	5
6	12	241	0.00588167	-	6	42
2	4	104	0.00584309	-	16	7
3	8	32	0.00574075	-	16	2
5	7	73	0.00548582	-	15	5
2	7	80	0.00515938	-	16	5
3	7	80	0.00466942	-	16	5
4	12	221	0.00420103	-	7	42
0	9	1661	0.00407256	-	74	123
2	8	32	0.00395686	-	16	2
1	7	40	0.00304625	-	9	5
8	12	83	0.0024748	-	2	42
7	10	200	0.00232268	-	5	99
12	13	83	0.00220822	-	42	2
7	13	10	0.00214294	-	5	2
1	12	251	0.00179744	-	9	42
9	11	1082	0.00149387	-	123	96
0	10	1146	0.0014152	-	74	99
10	11	747	0.000939394	AVI	99	96
0	12	1491	0.000813733	AVI	74	42
11	12	860	0.000764996	AVI	96	42
9	12	416	0.000453957	AVI	123	42
10	12	298	0.00034322	AVI	99	42
9	10	221	4.25035e-05	AVI	123	99
0
