11
0	4	AVI
2	75	AVI
4	89	AVI
6	63	AVI
9	59	AVI
10	9	AVI
14	2102	AVI
16	225	AVI
17	2	AVI
18	2	AVI
19	2	AVI
55
0	2	75	0.973332	-	4	75
0	9	96	0.946892	-	4	59
0	10	20	0.637006	-	4	9
16	18	333	0.438044	-	225	2
16	19	271	0.437771	-	225	2
2	9	743	0.275969	-	75	59
0	16	515	0.253144	-	4	225
2	10	259	0.169568	-	75	9
9	10	276	0.156618	-	59	9
10	16	856	0.0684193	-	9	225
4	10	336	0.0653896	-	89	9
6	10	542	0.0635737	-	63	9
2	14	21355	0.0302097	-	75	2102
9	14	32032	0.0234381	-	59	2102
0	4	253	0.0178517	-	4	89
0	6	252	0.0176483	-	4	63
2	16	3494	0.0173416	-	75	225
9	16	3714	0.0171694	-	59	225
2	4	1010	0.00650823	-	75	89
4	16	1695	0.00568153	-	89	225
14	16	58164	0.00554989	-	2102	225
2	6	3120	0.00542163	-	75	63
4	6	1775	0.00455238	-	89	63
4	9	1171	0.00335227	-	89	59
6	9	3064	0.00306444	-	63	59
2	19	86	0.00147259	-	75	2
0	14	4485	0	Hist	4	2102
14	19	2552	0	Hist	2102	2
14	18	2965	0	Hist	2102	2
14	17	2714	0	Hist	2102	2
10	14	8831	0	Hist	9	2102
18	19	4	-1	AVI	2	2
4	18	144	-1	AVI	89	2
17	19	4	-1	AVI	2	2
17	18	4	-1	AVI	2	2
0	17	5	-1	AVI	4	2
16	17	252	-1	AVI	225	2
0	18	8	-1	AVI	4	2
10	19	14	-1	AVI	9	2
10	18	18	-1	AVI	9	2
10	17	12	-1	AVI	9	2
0	19	5	-1	AVI	4	2
9	19	69	-1	AVI	59	2
9	18	100	-1	AVI	59	2
9	17	74	-1	AVI	59	2
2	17	89	-1	AVI	75	2
2	18	115	-1	AVI	75	2
6	19	120	-1	AVI	63	2
6	18	126	-1	AVI	63	2
6	17	117	-1	AVI	63	2
6	16	8969	-1	AVI	63	225
6	14	75272	-1	AVI	63	2102
4	14	18685	-1	AVI	89	2102
4	17	96	-1	AVI	89	2
4	19	100	-1	AVI	89	2
0
